Address,Quadrant,Profit_Factor,Average_Leverage,Total_PnL,Win_Rate,Liq_Loss_Ratio,Total_Account_Value,Avg_Duration_Min,Orders_30d,Orders_Per_Day,Duration_Ratio,Liq_Loss_Ratio_Detail,Top_Coins_Vol_Ratio,Liquidations_60d,Avg_PV
0x3c2327312d4cc84414473414d603915d83f52faf,Q4: 高危噪音区,0.3445,33.62,-107157.31,24.88%,0.4104,6085.55,3013.45,548,18.27,0.6105,0.4104,0.9803,18,102860.43
0xab1ee11e8192ff2e62ea6f10d0cc337d2c5fd615,Q4: 高危噪音区,0.4936,40.0,-447511.96,28.76%,1.0018,105.15,776.82,481,16.03,0.5362,1.0018,0.9983,45,569911.67
0xe52f8f63f002853d687fbc01c0f810a1e4efef2f,Q4: 高危噪音区,0.3751,16.04,-21141.69,22.78%,0.2638,225.33,284.69,398,13.27,0.7624,0.2638,0.9778,5,41578.19
0x91b8fe97424c29806a490f18f0356fd08fb584a9,Q4: 高危噪音区,0.3568,17.14,-34429.9,26.85%,0.0685,3368.59,313.48,315,10.5,0.6336,0.0685,0.9664,3,85271.97
0x5fe43dbeea7012eb9de09c42a60e920876165c08,Q4: 高危噪音区,0.3003,14.49,-82291.79,20.69%,0.4305,2630.45,1161.95,286,9.53,0.3588,0.4305,0.8,4,152274.87
0xa5f00649bd246ef8d3775abf567b82d66557fa58,Q4: 高危噪音区,0.3755,20.67,-2657298.2,21.15%,0.1644,0.04,1224.03,157,5.23,0.5999,0.1644,0.9481,10,6026536.78
0xb699418d964a65564704c00c2d0b2440fcf61daf,Q4: 高危噪音区,0.4142,26.79,-13935.41,15.49%,1.3752,1044.03,4043.56,144,4.8,0.1297,1.3752,1.0,32,15111.56
0x6f829c5fad24e306be21d80137b6c2a23fcdc53d,Q4: 高危噪音区,0.3042,13.18,-11487.11,22.37%,0.5476,34.02,961.92,125,4.17,0.5191,0.5476,0.9927,15,18736.5
0x58f544fbd7854fb259996b70108d4298c81d06cd,Q4: 高危噪音区,0.4996,28.67,-108000.9,20.00%,1.1256,7.33,992.79,102,3.4,1.7249,1.1256,0.9807,21,1008405.94
0xf016f758f5f7de2a16f2cee0ecb736ad5490d670,Q4: 高危噪音区,0.3912,19.28,-28881.3,24.00%,1.6321,12262.64,6432.74,100,3.33,7.7426,1.6321,0.9825,20,57110.87
0xc85b34f61c31e0df4ecf3dfb17d28bf764932a63,Q4: 高危噪音区,0.3137,25.13,-2517045.27,26.35%,0.8035,10146.82,3908.09,100,3.33,0.6602,0.8035,0.9544,17,1594101.88
0xa3fd5d21b41c992ccb3f51aa90a190e6161b96a5,Q4: 高危噪音区,0.3105,18.16,-31182.13,28.95%,0.5825,0.0,93.55,95,3.17,0.3891,0.5825,0.9503,7,103916.28
0x04239397cd010ced20b211ed87cfbb4722a8c32e,Q4: 高危噪音区,0.4773,19.36,-10948.27,24.24%,0.6552,22.48,3879.82,86,2.87,0.1184,0.6552,0.9095,11,30587.32
0xc000bd9187a9b1d40ada57b551c810a2c9862268,Q4: 高危噪音区,0.4233,27.4,-12187.03,28.66%,0.8355,3.11,1834.15,86,2.87,1.0752,0.8355,1.0,12,13577.53
0x8eea5b0fbfc571521c17c151e2de3bce0170d9f8,Q4: 高危噪音区,0.3532,16.36,-12516.31,26.32%,0.4902,598.81,872.94,84,2.8,1.006,0.4902,0.9846,1,42465.18
